,train_loss,train_dice,val_loss,val_dice
0,0.8232131654565985,1.0,0.7580470045407613,1.0
1,0.7335259751840071,1.0,0.47505390644073486,1.0
2,0.31252272020686755,1.0,0.4759887456893921,1.0
3,0.1266639232635498,1.0,0.42533596356709796,1.0
4,0.08732950687408447,1.0,0.4511360128720601,1.0
5,0.07301629673350941,1.0,0.40072864294052124,1.0
6,0.06462685086510399,1.0,0.4723166624704997,1.0
7,0.058458366177298805,1.0,0.3321916659673055,1.0
8,0.05358755046671087,1.0,0.3372716506322225,1.0
9,0.0523045388135043,1.0,0.3103724718093872,1.0
10,0.06088114868510853,1.0,0.27715375026067096,1.0
11,0.05935073440725153,1.0,0.23213318983713785,1.0
12,0.05389548973603682,1.0,0.20700937509536743,1.0
13,0.048626905137842354,1.0,0.21324696143468222,1.0
14,0.04940190098502419,1.0,0.144654909769694,1.0
15,0.046814127401872116,1.0,0.1333777109781901,1.0
16,0.043224486437710846,1.0,0.13906083504358926,1.0
17,0.0432493199001659,1.0,0.09958662589391072,1.0
18,0.04083638841455633,1.0,0.13337188959121704,1.0
19,0.04179713400927457,1.0,0.09667374690373738,1.0
20,0.0342157320542769,1.0,0.0826963980992635,1.0
21,0.034117145971818405,1.0,0.08246046304702759,1.0
22,0.03161459077488293,1.0,0.06813738743464152,1.0
23,0.03534568439830433,1.0,0.05853557586669922,1.0
24,0.03302443569356745,1.0,0.04539187749226888,1.0
25,0.032836328853260384,1.0,0.04792304833730062,1.0
26,0.03105198253284801,1.0,0.05250974496205648,1.0
27,0.031330238689075814,1.0,0.045077383518218994,1.0
28,0.030645543878728695,1.0,0.040810465812683105,1.0
29,0.03010614893653176,1.0,0.04615980386734009,1.0
30,0.030008939179507168,1.0,0.046134233474731445,1.0
31,0.03029578924179077,1.0,0.04774163166681925,1.0
32,0.03103194995359941,1.0,0.03539655605951945,1.0
33,0.02864008058201183,1.0,0.035588979721069336,1.0
34,0.029398007826371628,1.0,0.027431170145670574,1.0
35,0.02890476855364713,1.0,0.034776647885640465,1.0
36,0.028240621089935303,1.0,0.02622854709625244,1.0
37,0.029154192317615856,1.0,0.02592511971791585,1.0
38,0.027162427251989193,1.0,0.026453832785288494,1.0
39,0.02618222345005382,1.0,0.025688012440999348,1.0
